ala,pico,Specie
48.1,199.0,Chinstrap
49.0,216.0,Gentoo
49.8,229.0,Gentoo
51.4,201.0,Chinstrap
45.5,196.0,Chinstrap
36.5,182.0,Adelie
51.3,218.0,Gentoo
40.2,176.0,Adelie
42.4,181.0,Chinstrap
42.7,208.0,Gentoo
50.2,202.0,Chinstrap
46.1,211.0,Gentoo
35.5,190.0,Adelie
36.0,186.0,Adelie
34.0,185.0,Adelie
48.1,209.0,Gentoo
38.1,187.0,Adelie
49.5,224.0,Gentoo
39.0,185.0,Adelie
46.5,213.0,Gentoo
41.4,191.0,Adelie
36.2,187.0,Adelie
39.2,196.0,Adelie
44.9,213.0,Gentoo
50.8,228.0,Gentoo
37.8,193.0,Adelie
45.2,215.0,Gentoo
40.7,190.0,Adelie
41.1,182.0,Adelie
40.9,187.0,Chinstrap
46.7,219.0,Gentoo
38.2,190.0,Adelie
49.0,212.0,Chinstrap
50.3,197.0,Chinstrap
41.1,192.0,Adelie
35.6,191.0,Adelie
42.8,195.0,Adelie
49.4,216.0,Gentoo
41.1,189.0,Adelie
50.9,196.0,Chinstrap
45.5,212.0,Gentoo
36.8,193.0,Adelie
43.1,197.0,Adelie
59.6,230.0,Gentoo
46.2,217.0,Gentoo
51.0,203.0,Chinstrap
49.6,225.0,Gentoo
37.6,185.0,Adelie
48.7,208.0,Gentoo
48.4,213.0,Gentoo
46.0,194.0,Adelie
34.6,198.0,Adelie
45.4,188.0,Chinstrap
46.4,221.0,Gentoo
52.1,230.0,Gentoo
45.1,215.0,Gentoo
47.0,185.0,Chinstrap
46.8,215.0,Gentoo
43.8,208.0,Gentoo
35.7,185.0,Adelie
49.1,212.0,Gentoo
36.5,181.0,Adelie
46.5,210.0,Gentoo
49.6,216.0,Gentoo
50.8,210.0,Chinstrap
45.2,191.0,Chinstrap
48.5,219.0,Gentoo
42.8,209.0,Gentoo
47.2,215.0,Gentoo
32.1,188.0,Adelie
45.5,214.0,Gentoo
37.5,199.0,Adelie
44.1,210.0,Adelie
38.3,189.0,Adelie
46.0,195.0,Chinstrap
36.2,187.0,Adelie
50.7,223.0,Gentoo
47.5,218.0,Gentoo
37.3,192.0,Adelie
37.3,191.0,Adelie
37.2,178.0,Adelie
49.0,210.0,Chinstrap
49.9,213.0,Gentoo
39.5,188.0,Adelie
39.3,190.0,Adelie
36.0,195.0,Adelie
40.5,187.0,Adelie
48.4,220.0,Gentoo
40.9,191.0,Adelie
36.7,193.0,Adelie
36.0,190.0,Adelie
46.7,195.0,Chinstrap
50.5,201.0,Chinstrap
45.5,210.0,Gentoo
51.5,187.0,Chinstrap
46.8,189.0,Chinstrap
42.9,196.0,Adelie
45.3,210.0,Gentoo
41.3,194.0,Adelie
53.5,205.0,Chinstrap
45.7,193.0,Chinstrap
42.3,191.0,Adelie
46.8,215.0,Gentoo
48.8,222.0,Gentoo
51.3,198.0,Chinstrap
50.4,222.0,Gentoo
50.0,196.0,Chinstrap
50.6,193.0,Chinstrap
43.2,208.0,Gentoo
45.5,220.0,Gentoo
39.5,178.0,Adelie
36.6,184.0,Adelie
45.6,194.0,Chinstrap
39.2,195.0,Adelie
43.5,213.0,Gentoo
45.2,212.0,Gentoo
45.6,191.0,Adelie
36.0,187.0,Adelie
43.6,217.0,Gentoo
52.2,197.0,Chinstrap
43.4,218.0,Gentoo
50.5,216.0,Gentoo
51.3,197.0,Chinstrap
43.3,208.0,Gentoo
58.0,181.0,Chinstrap
39.6,190.0,Adelie
35.2,186.0,Adelie
42.0,210.0,Gentoo
37.2,184.0,Adelie
52.0,201.0,Chinstrap
46.4,216.0,Gentoo
45.2,223.0,Gentoo
46.1,178.0,Chinstrap
